month,war_news,unemployment_news,tariffs_news,earnings_news,ai_news
2021-02-14,4,3,0,2,2
2021-02-21,4,3,0,2,1
2021-02-28,4,3,0,2,2
2021-03-07,3,4,0,1,2
2021-03-14,3,4,0,1,1
2021-03-21,3,3,0,1,2
2021-03-28,4,3,0,1,2
2021-04-04,4,2,0,1,2
2021-04-11,4,2,0,1,2
2021-04-18,4,2,0,1,2
2021-04-25,4,2,0,3,2
2021-05-02,4,3,0,2,2
2021-05-09,5,4,0,2,2
2021-05-16,4,3,0,1,2
2021-05-23,3,3,0,1,2
2021-05-30,4,3,0,1,2
2021-06-06,3,2,0,1,2
2021-06-13,3,2,0,0,2
2021-06-20,3,2,0,1,2
2021-06-27,4,2,0,1,2
2021-07-04,4,2,0,0,2
2021-07-11,4,2,0,1,2
2021-07-18,3,2,0,2,2
2021-07-25,3,2,0,3,2
2021-08-01,3,2,0,2,2
2021-08-08,3,3,0,2,1
2021-08-15,5,3,0,1,2
2021-08-22,3,4,0,1,2
2021-08-29,3,4,0,1,2
2021-09-05,4,4,0,1,2
2021-09-12,2,2,0,0,1
2021-09-19,4,2,0,0,2
2021-09-26,3,2,0,1,2
2021-10-03,3,2,0,1,2
2021-10-10,3,1,0,1,2
2021-10-17,3,1,0,2,2
2021-10-24,3,1,0,3,2
2021-10-31,3,1,0,3,2
2021-11-07,3,1,0,3,2
2021-11-14,3,1,0,2,2
2021-11-21,3,1,0,1,2
2021-11-28,3,1,0,1,2
2021-12-05,4,1,0,1,2
2021-12-12,3,1,0,0,2
2021-12-19,3,1,0,0,2
2021-12-26,3,1,0,0,1
2022-01-02,3,1,0,1,2
2022-01-09,4,1,0,1,2
2022-01-16,4,1,0,1,2
2022-01-23,6,1,0,2,2
2022-01-30,5,1,0,4,1
2022-02-06,5,1,0,3,2
2022-02-13,7,1,0,2,2
2022-02-20,28,0,0,2,1
2022-02-27,26,1,0,1,1
2022-03-06,16,1,0,1,2
2022-03-13,13,0,0,1,2
2022-03-20,11,1,0,1,2
2022-03-27,9,1,0,1,2
2022-04-03,9,0,0,0,2
2022-04-10,8,1,0,1,2
2022-04-17,8,1,0,2,2
2022-04-24,8,0,0,3,2
2022-05-01,8,0,0,2,2
2022-05-08,7,0,0,2,2
2022-05-15,6,0,0,1,2
2022-05-22,6,0,0,1,2
2022-05-29,6,0,0,1,2
2022-06-05,6,0,0,1,2
2022-06-12,5,0,0,0,3
2022-06-19,5,0,0,0,2
2022-06-26,6,0,0,1,2
2022-07-03,5,0,0,1,2
2022-07-10,5,0,0,1,2
2022-07-17,4,0,0,2,2
2022-07-24,5,0,0,3,2
2022-07-31,7,1,0,3,2
2022-08-07,6,0,0,2,2
2022-08-14,5,0,0,1,2
2022-08-21,5,0,0,1,2
2022-08-28,5,1,0,1,2
2022-09-04,5,0,0,1,2
2022-09-11,7,0,0,0,2
2022-09-18,7,0,0,0,2
2022-09-25,8,0,0,1,2
2022-10-02,7,0,0,0,2
2022-10-09,8,0,0,1,2
2022-10-16,7,0,0,2,2
2022-10-23,6,0,0,3,2
2022-10-30,7,0,0,2,2
2022-11-06,8,0,0,2,2
2022-11-13,8,1,0,1,2
2022-11-20,6,0,0,1,2
2022-11-27,5,0,0,1,2
2022-12-04,5,0,0,1,4
2022-12-11,6,0,0,0,5
2022-12-18,5,0,0,1,3
2022-12-25,5,0,0,0,3
2023-01-01,5,1,0,0,3
2023-01-08,5,0,0,1,4
2023-01-15,5,0,0,1,3
2023-01-22,6,0,0,2,4
2023-01-29,6,1,0,3,4
2023-02-05,6,1,0,2,6
2023-02-12,6,0,0,2,5
2023-02-19,7,0,0,2,5
2023-02-26,6,0,0,2,5
2023-03-05,5,1,0,1,5
2023-03-12,6,0,0,1,5
2023-03-19,6,0,0,1,6
2023-03-26,6,0,0,1,6
2023-04-02,6,0,0,1,6
2023-04-09,5,0,0,1,6
2023-04-16,6,0,0,2,8
2023-04-23,5,1,0,3,7
2023-04-30,5,0,0,3,8
2023-05-07,5,0,0,2,8
2023-05-14,5,0,0,1,8
2023-05-21,5,0,0,1,8
2023-05-28,5,0,0,1,9
2023-06-04,5,0,0,1,8
2023-06-11,5,1,0,1,8
2023-06-18,6,0,0,1,8
2023-06-25,5,0,0,1,7
2023-07-02,5,0,0,1,7
2023-07-09,5,0,0,1,8
2023-07-16,5,0,0,3,9
2023-07-23,5,0,0,4,8
2023-07-30,5,0,0,4,7
2023-08-06,5,0,0,3,7
2023-08-13,5,0,0,1,8
2023-08-20,4,0,0,2,7
2023-08-27,5,0,0,1,7
2023-09-03,5,1,0,1,6
2023-09-10,5,0,0,1,7
2023-09-17,5,1,0,1,7
2023-09-24,5,0,0,1,7
2023-10-01,7,0,0,1,7
2023-10-08,18,0,0,1,6
2023-10-15,14,0,0,2,7
2023-10-22,12,0,0,3,7
2023-10-29,13,0,0,3,8
2023-11-05,9,0,0,3,9
2023-11-12,8,0,0,2,8
2023-11-19,7,0,0,1,9
2023-11-26,6,0,0,1,9
2023-12-03,7,0,0,1,9
2023-12-10,8,0,0,1,9
2023-12-17,7,0,0,1,8
2023-12-24,7,0,0,0,7
2023-12-31,7,0,0,0,7
2024-01-07,8,0,0,1,9
2024-01-14,8,0,0,1,9
2024-01-21,10,0,0,2,10
2024-01-28,9,1,0,4,10
2024-02-04,7,0,0,3,9
2024-02-11,6,0,0,3,10
2024-02-18,6,1,0,3,12
2024-02-25,6,0,0,3,13
2024-03-03,6,1,0,2,11
2024-03-10,6,1,0,1,13
2024-03-17,7,1,0,1,12
2024-03-24,7,0,0,1,12
2024-03-31,7,0,0,1,11
2024-04-07,9,0,0,1,11
2024-04-14,12,0,0,2,12
2024-04-21,7,1,0,4,11
2024-04-28,7,1,0,4,10
2024-05-05,6,1,0,3,10
2024-05-12,6,0,0,2,11
2024-05-19,6,0,0,3,12
2024-05-26,7,0,0,1,11
2024-06-02,7,0,0,1,12
2024-06-09,8,1,0,1,12
2024-06-16,8,1,0,1,12
2024-06-23,7,0,0,1,11
2024-06-30,6,0,0,1,10
2024-07-07,6,1,0,2,11
2024-07-14,5,0,0,2,10
2024-07-21,6,0,0,4,11
2024-07-28,7,1,0,5,11
2024-08-04,10,1,0,3,10
2024-08-11,8,1,0,2,11
2024-08-18,7,1,0,2,11
2024-08-25,6,0,0,4,11
2024-09-01,6,1,0,1,10
2024-09-08,6,1,0,1,11
2024-09-15,7,1,0,1,11
2024-09-22,7,0,0,1,11
2024-09-29,11,1,0,1,10
2024-10-06,8,0,0,1,10
2024-10-13,7,0,0,2,11
2024-10-20,8,0,0,3,13
2024-10-27,6,0,0,5,10
2024-11-03,8,0,1,3,9
2024-11-10,6,0,1,3,11
2024-11-17,10,0,1,3,11
2024-11-24,9,0,2,1,10
2024-12-01,7,1,1,1,11
2024-12-08,7,0,1,1,13
2024-12-15,7,0,1,1,12
2024-12-22,7,0,0,0,9
2024-12-29,6,0,0,1,9
2025-01-05,5,0,1,1,12
2025-01-12,6,0,1,1,13
2025-01-19,6,0,2,2,14
2025-01-26,6,0,7,4,17
2025-02-02,7,1,14,5,16
2025-02-09,6,1,6,3,17
2025-02-16,6,1,3,2,15
2025-02-23,6,0,4,4,14
2025-03-02,9,1,15,2,14
2025-03-09,7,1,10,1,14
2025-03-16,7,0,4,1,14
2025-03-23,8,0,7,1,15
2025-03-30,8,1,26,1,20
2025-04-06,8,1,32,1,15
2025-04-13,6,0,13,2,14
2025-04-20,8,0,9,3,14
2025-04-27,10,1,9,4,14
2025-05-04,43,0,7,3,13
2025-05-11,12,0,6,2,15
2025-05-18,6,0,4,1,16
2025-05-25,6,0,5,2,15
2025-06-01,7,1,4,1,15
2025-06-08,10,0,3,1,17
2025-06-15,19,0,2,1,15
2025-06-22,20,0,3,1,15
2025-06-29,6,0,3,1,15
2025-07-06,5,1,6,1,16
2025-07-13,5,1,4,2,17
2025-07-20,7,0,4,4,15
2025-07-27,7,0,6,4,15
2025-08-03,13,1,9,13,28
2025-08-10,12,1,5,7,28
2025-08-17,7,0,2,1,16
2025-08-24,6,1,3,3,16
2025-08-31,6,1,3,1,17
2025-09-07,6,1,2,1,17
2025-09-14,6,1,2,1,29
2025-09-21,7,0,2,1,20
2025-09-28,7,0,2,1,18
2025-10-05,7,1,2,1,21
2025-10-12,7,1,2,2,21
2025-10-19,5,0,2,3,21
2025-10-26,7,1,2,5,20
2025-11-02,6,1,2,5,19
2025-11-09,6,1,2,3,19
2025-11-16,6,1,2,4,21
2025-11-23,5,0,1,1,16
2025-11-30,7,1,1,1,18
2025-12-07,7,1,1,1,20
2025-12-14,7,1,1,1,17
2025-12-21,6,0,1,1,15
2025-12-28,9,0,1,1,13
2026-01-04,8,1,2,1,15
2026-01-11,7,10,2,12,23
2026-01-18,7,31,2,34,49
2026-01-25,12,54,3,70,76
2026-02-01,19,64,7,85,100
2026-02-08,20,32,7,45,68
2026-02-15,18,36,5,45,69
